Year,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2017,Kawhi Leonard,25,SAS,9,500.0,1010.0,0.495,74.0,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264
2017,LeBron James,32,CLE,1,333.0,1010.0,0.33,74.0,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221
2017,Isaiah Thomas,27,BOS,0,81.0,1010.0,0.08,76.0,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234
2017,Stephen Curry,28,GSW,0,52.0,1010.0,0.051,79.0,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229
2017,Giannis Antetokounmpo,22,MIL,0,7.0,1010.0,0.007,80.0,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21
2017,John Wall,26,WAS,0,7.0,1010.0,0.007,78.0,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149
2017,Anthony Davis,23,NOP,0,2.0,1010.0,0.002,75.0,36.1,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11.0,0.195
2017,Kevin Durant,28,GSW,0,2.0,1010.0,0.002,62.0,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12.0,0.278
2018,James Harden,28,HOU,86,965.0,1010.0,0.955,72.0,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289
2018,LeBron James,33,CLE,15,738.0,1010.0,0.731,82.0,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14.0,0.221
2018,Anthony Davis,24,NOP,0,445.0,1010.0,0.441,75.0,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241
2018,Damian Lillard,27,POR,0,207.0,1010.0,0.205,73.0,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227
2018,Russell Westbrook,29,OKC,0,76.0,1010.0,0.075,80.0,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166
2018,Giannis Antetokounmpo,23,MIL,0,75.0,1010.0,0.074,75.0,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207
2018,Kevin Durant,29,GSW,0,66.0,1010.0,0.065,68.0,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215
2018,DeMar DeRozan,28,TOR,0,32.0,1010.0,0.032,80.0,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17
2018,LaMarcus Aldridge,32,SAS,0,6.0,1010.0,0.006,75.0,33.5,23.1,8.5,2.0,0.6,1.2,0.51,0.293,0.837,10.9,0.209
2018,Jimmy Butler,28,MIN,0,5.0,1010.0,0.005,59.0,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198
2019,Giannis Antetokounmpo,24,MIL,78,941.0,1010.0,0.932,72.0,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292
2019,James Harden,29,HOU,23,776.0,1010.0,0.768,78.0,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2,0.254
2019,Paul George,28,OKC,0,356.0,1010.0,0.352,77.0,36.9,28.0,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201
2019,Nikola JokiÄ,23,DEN,0,212.0,1010.0,0.21,80.0,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226
2019,Stephen Curry,30,GSW,0,175.0,1010.0,0.173,69.0,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199
2019,Damian Lillard,28,POR,0,69.0,1010.0,0.068,80.0,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205
2019,Joel Embiid,24,PHI,0,49.0,1010.0,0.049,64.0,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194
2019,Kevin Durant,30,GSW,0,25.0,1010.0,0.025,78.0,34.6,26.0,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204
2019,Kawhi Leonard,27,TOR,0,13.0,1010.0,0.013,60.0,34.0,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224
2019,Russell Westbrook,30,OKC,0,8.0,1010.0,0.008,73.0,36.0,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124
2020,Giannis Antetokounmpo,25,MIL,85,962.0,1010.0,0.952,63.0,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279
2020,LeBron James,35,LAL,16,753.0,1010.0,0.746,67.0,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204
2020,James Harden,30,HOU,0,367.0,1010.0,0.363,68.0,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254
2020,Luka DonÄiÄ,20,DAL,0,200.0,1010.0,0.198,61.0,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207
2020,Kawhi Leonard,28,LAC,0,168.0,1010.0,0.166,57.0,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226
2020,Anthony Davis,26,LAL,0,82.0,1010.0,0.081,62.0,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25
2020,Chris Paul,34,OKC,0,26.0,1010.0,0.026,70.0,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193
2020,Damian Lillard,29,POR,0,23.0,1010.0,0.023,66.0,37.5,30.0,4.3,8.0,1.1,0.3,0.463,0.401,0.888,11.6,0.225
2020,Nikola JokiÄ,24,DEN,0,18.0,1010.0,0.018,73.0,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.817,9.8,0.202
2020,Pascal Siakam,25,TOR,0,17.0,1010.0,0.017,60.0,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123
2021,Nikola JokiÄ,25,DEN,91,971.0,1010.0,0.961,72.0,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301
2021,Joel Embiid,26,PHI,1,586.0,1010.0,0.58,51.0,31.1,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.859,8.8,0.266
2021,Stephen Curry,32,GSW,5,453.0,1010.0,0.449,63.0,34.2,32.0,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9.0,0.201
2021,Giannis Antetokounmpo,26,MIL,1,348.0,1010.0,0.345,61.0,33.0,28.1,11.0,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244
2021,Chris Paul,35,PHO,2,139.0,1010.0,0.138,70.0,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201
2021,Luka DonÄiÄ,21,DAL,0,42.0,1010.0,0.042,66.0,34.3,27.7,8.0,8.6,1.0,0.5,0.479,0.35,0.73,7.7,0.163
2021,Damian Lillard,30,POR,0,38.0,1010.0,0.038,67.0,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209
2021,Julius Randle,26,NYK,0,20.0,1010.0,0.02,71.0,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14
2021,Derrick Rose,32,TOT,1,10.0,1010.0,0.01,50.0,25.6,14.7,2.6,4.2,1.0,0.4,0.47,0.388,0.866,3.1,0.118
2021,Rudy Gobert,28,UTA,0,8.0,1010.0,0.008,71.0,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0.0,0.623,11.3,0.248
2022,Nikola JokiÄ,26,DEN,65,875.0,1000.0,0.875,74.0,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296
2022,Joel Embiid,27,PHI,26,706.0,1000.0,0.706,68.0,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12.0,0.252
2022,Giannis Antetokounmpo,27,MIL,9,595.0,1000.0,0.595,67.0,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281
2022,Devin Booker,25,PHO,0,216.0,1000.0,0.216,68.0,34.5,26.8,5.0,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156
2022,Luka DonÄiÄ,22,DAL,0,146.0,1000.0,0.146,65.0,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159
2022,Jayson Tatum,23,BOS,0,43.0,1000.0,0.043,76.0,35.9,26.9,8.0,4.4,1.0,0.6,0.453,0.353,0.853,9.6,0.169
2022,Ja Morant,22,MEM,0,10.0,1000.0,0.01,57.0,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171
2022,Stephen Curry,33,GSW,0,4.0,1000.0,0.004,64.0,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8.0,0.173
2022,Chris Paul,36,PHO,0,2.0,1000.0,0.002,65.0,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21
2022,DeMar DeRozan,32,CHI,0,1.0,1000.0,0.001,76.0,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154
2023,Joel Embiid,28,PHI,73,915.0,1000.0,0.915,66.0,34.6,33.1,10.2,4.2,1.0,1.7,0.548,0.33,0.857,12.3,0.259
2023,Nikola JokiÄ,27,DEN,15,674.0,1000.0,0.674,69.0,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308
2023,Giannis Antetokounmpo,28,MIL,12,606.0,1000.0,0.606,63.0,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204
2023,Jayson Tatum,24,BOS,0,280.0,1000.0,0.28,74.0,36.9,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,10.5,0.185
2023,Shai Gilgeous-Alexander,24,OKC,0,46.0,1000.0,0.046,68.0,35.5,31.4,4.8,5.5,1.6,1.0,0.51,0.345,0.905,11.4,0.226
2023,Donovan Mitchell,26,CLE,0,30.0,1000.0,0.03,68.0,35.8,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.867,8.9,0.176
2023,Domantas Sabonis,26,SAC,0,27.0,1000.0,0.027,79.0,34.6,19.1,12.3,7.3,0.8,0.5,0.615,0.373,0.742,12.6,0.221
2023,Luka DonÄiÄ,23,DAL,0,10.0,1000.0,0.01,66.0,36.2,32.4,8.6,8.0,1.4,0.5,0.496,0.342,0.742,10.2,0.204
2023,Stephen Curry,34,GSW,0,5.0,1000.0,0.005,56.0,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915,7.8,0.192
2023,Jimmy Butler,33,MIA,0,3.0,1000.0,0.003,64.0,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277
